Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
,91,Mother,Violet010200,oh it's the big fat one,Violet,494.49,498.781,[],[1|3|COM] [2|3|SUBJ 3|0|ROOT] [4|6|DET] [5|6|MOD] [6|3|PRED] ,[co|oh] [pro:per|it~cop|be&3S] [det:art|the] [adj|big] [n|fat] [det:num|one cm|cm] ,,,,,,,,,,MotherofViolet_Violet010200_91
,91,Mother,Violet010200,it's the big fat one .,Violet,0.0,0.0,[],[7|9|QUANT 8|7|LP] [9|10|SUBJ 10|6|CMOD] [11|13|DET] [12|13|MOD] [13|10|PRED] [14|13|XMOD 15|3|PUNCT],[pro:per|it~cop|be&3S] [det:art|the] [adj|big] [n|fat] [pro:indef|one .],,,,,,,,,,MotherofViolet_Violet010200_91
,92,Mother,Violet010200,mouse .,Violet,498.781,500.518,[],[1|0|INCROOT 2|1|PUNCT],[n|mouse .],,,,,,,,,,MotherofViolet_Violet010200_92
,93,Mother,Violet010200,can you say mouse ?,Violet,500.518,503.058,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ 5|3|PUNCT],[mod|can] [pro:per|you] [v|say] [n|mouse ?],,,,,,,,,,MotherofViolet_Violet010200_93
,94,Mother,Violet010200,mouse .,Violet,503.058,506.691,[],[1|0|INCROOT 2|1|PUNCT],[n|mouse .],,,,,,,,,,MotherofViolet_Violet010200_94
,95,Mother,Violet010200,dudi_dudi_du@si .,Violet,506.691,517.081,MOT is handed the laundry basket,[1|0|INCROOT 2|1|PUNCT],[sing|dudi_dudi_du .],,,,,,,,,,MotherofViolet_Violet010200_95
,96,Mother,Violet010200,thank you .,Violet,517.081,520.88,[],[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|thank] [pro:per|you .],,,,,,,,,,MotherofViolet_Violet010200_96
,97,Mother,Violet010200,oh .,Violet,520.88,524.578,[],[1|0|INCROOT 2|1|PUNCT],[co|oh .],,,,,,,,,,MotherofViolet_Violet010200_97
,98,Mother,Violet010200,"thank you , try to fold the laundry .",Violet,524.578,539.92,"MOT begins folding a towel , CHI reaches over and tugs at towel",[1|0|ROOT] [2|1|OBJ 3|1|LP] [4|1|COMP] [5|6|INF] [6|4|XCOMP] [7|8|DET] [8|6|OBJ 9|1|PUNCT],[v|thank] [pro:per|you cm|cm] [v|try] [inf|to] [v|fold] [det:art|the] [n|laundry .],,,,,,,,,,MotherofViolet_Violet010200_98
,99,Mother,Violet010200,that was good huh ?,Violet,539.92,559.996,"CHI plays with folded towel , puts it aside , and sneezes",[1|2|SUBJ] [2|0|ROOT] [3|2|PRED] [4|2|COM 5|2|PUNCT],[pro:dem|that] [cop|be&PAST&13S] [adj|good] [co|huh ?],,,,,,,,,,MotherofViolet_Violet010200_99
,100,Mother,Violet010200,oh bless you .,Violet,559.998,561.458,[],[1|2|COM] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[co|oh] [v|bless] [pro:per|you .],,,,,,,,,,MotherofViolet_Violet010200_100
,101,Mother,Violet010200,you wanna do the peoples while I fold the laundry ?,Violet,561.458,587.42,"CHI picks up towel again , plays with it some more on her lap",[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|5|DET] [5|3|OBJ] [6|8|LINK] [7|8|SUBJ] [8|3|CJCT] [9|10|DET] [10|8|OBJ 11|3|PUNCT],[pro:per|you] [mod:aux|wanna] [v|do] [det:art|the] [n|person&PL-PL] [conj|while] [pro:sub|I] [v|fold] [det:art|the] [n|laundry ?],,,,,,,,,,MotherofViolet_Violet010200_101
,102,Mother,Violet010200,oh you're goin<g> night nights .,Violet,587.42,590.286,CHI pulls at towel on her lap,[1|4|COM] [2|4|SUBJ 3|4|AUX] [4|0|ROOT] [5|6|MOD] [6|4|OBJ 7|4|PUNCT],[co|oh] [pro:per|you~aux|be&PRES] [part|go-PRESP] [n|night] [n|night-PL .],,,,,,,,,,MotherofViolet_Violet010200_102
,103,Mother,Violet010200,night night Violet .,Violet,590.286,592.78,[],[1|2|MOD] [2|0|ROOT] [3|2|APP 4|2|PUNCT],[n|night] [n|night] [n:prop|Violet .],,,,,,,,,,MotherofViolet_Violet010200_103
,104,Mother,Violet010200,you goin<g> night nights ?,Violet,592.78,597.598,"CHI grabs at another towel from the laundry , places it on her lap",[1|0|INCROOT] [2|1|XJCT] [3|4|MOD] [4|2|OBJ 5|1|PUNCT],[pro:per|you] [part|go-PRESP] [n|night] [n|night-PL ?],,,,,,,,,,MotherofViolet_Violet010200_104
,105,Violet,Violet010200,yyy .,Violet,597.598,650.316,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_105
,106,Violet,Violet010200,xxx .,Violet,650.318,666.198,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_106
,107,Father,Violet010200,you get the stuff from the washer ?,Violet,666.198,667.79,[],[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ] [5|4|NJCT] [6|7|DET] [7|5|POBJ 8|2|PUNCT],[pro:per|you] [v|get] [det:art|the] [n|stuff] [prep|from] [det:art|the] [n|wash&dv-AGT ?],,,,,,,,,,FatherofViolet_Violet010200_107
,108,Mother,Violet010200,at lunch .,Violet,667.79,673.725,[],[1|0|INCROOT] [2|1|POBJ 3|1|PUNCT],[prep|at] [n|lunch .],,,,,,,,,,MotherofViolet_Violet010200_108
,109,Mother,Violet010200,oops .,Violet,673.725,676.626,[],[1|0|INCROOT 2|1|PUNCT],[co|oops .],,,,,,,,,,MotherofViolet_Violet010200_109
,110,Mother,Violet010200,is that alright ?,Violet,676.626,678.795,[],[1|0|ROOT] [2|1|SUBJ] [3|1|PRED 4|1|PUNCT],[cop|be&3S] [pro:dem|that] [adj|alright ?],,,,,,,,,,MotherofViolet_Violet010200_110
,111,Mother,Violet010200,just used up a lot of gas right ?,Violet,678.795,697.96,CHI continues to play with pieces from the game,[1|2|JCT] [2|0|ROOT] [3|2|JCT] [4|5|DET] [5|3|POBJ] [6|5|NJCT] [7|8|MOD] [8|6|POBJ 9|2|PUNCT],[adv|just] [part|use-PASTP] [prep|up] [det:art|a] [n|lot] [prep|of] [n|gas] [adj|right ?],,,,,,,,,,MotherofViolet_Violet010200_111
,112,Mother,Violet010200,whacha (replacement:replacement:what are you) doin<g> ?,Violet,697.96,701.065,[],[1|4|LINK 2|4|AUX 3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[pro:int|what aux|be&PRES pro:per|you] [part|do-PRESP ?],,,,,,,,,,MotherofViolet_Violet010200_112
,113,Mother,Violet010200,where's the mouse ?,Violet,701.065,707.411,[],[1|2|LINK 2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT],[adv:int|where~cop|be&3S] [det:art|the] [n|mouse ?],,,,,,,,,,MotherofViolet_Violet010200_113
,114,Violet,Violet010200,xxx .,Violet,707.411,727.52,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_114
,115,Mother,Violet010200,where's the mouse ?,Violet,727.52,728.945,"CHI picks up game , plays with a piece some more",[1|2|LINK 2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT],[adv:int|where~cop|be&3S] [det:art|the] [n|mouse ?],,,,,,,,,,MotherofViolet_Violet010200_115
,116,Violet,Violet010200,yyy yyy .,Violet,728.945,741.431,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_116
,117,Violet,Violet010200,yyy .,Violet,741.431,743.683,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_117
,118,Violet,Violet010200,yyy .,Violet,743.683,745.911,CHI tries to pry apart a piece of the game,[],[],,,,,,,,,,VioletofViolet_Violet010200_118
,119,Mother,Violet010200,is it stuck ?,Violet,745.911,749.343,"CHI tugs at the gamepiece , then pulls it away",[1|3|AUX] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[aux|be&3S] [pro:per|it] [v|stick&PAST ?],,,,,,,,,,MotherofViolet_Violet010200_119
,120,Mother,Violet010200,oy .,Violet,749.343,753.683,[],[1|0|INCROOT 2|1|PUNCT],[co|oy .],,,,,,,,,,MotherofViolet_Violet010200_120
,121,Mother,Violet010200,stuck .,Violet,753.683,755.383,CHI pulls away another piece from the game,[1|0|ROOT 2|1|PUNCT],[v|stick&PAST .],,,,,,,,,,MotherofViolet_Violet010200_121
,122,Mother,Violet010200,oh .,Violet,755.383,771.615,"CHI pulls away another piece from the game , looks at it",[1|0|INCROOT 2|1|PUNCT],[co|oh .],,,,,,,,,,MotherofViolet_Violet010200_122
,123,Mother,Violet010200,can you give him a kiss ?,Violet,771.616,773.711,CHI hands the gamepiece to MOT,[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ] [5|6|DET] [6|3|OBJ 7|3|PUNCT],[mod|can] [pro:per|you] [v|give] [pro:obj|him] [det:art|a] [n|kiss ?],,,,,,,,,,MotherofViolet_Violet010200_123
,124,Mother,Violet010200,want me to give him a kiss ?,Violet,773.711,777.848,"MOT kisses the gamepiece , then CHI imitates her and also kisses it",[1|0|ROOT] [2|1|OBJ] [3|4|INF] [4|1|XCOMP] [5|4|OBJ] [6|7|DET] [7|4|OBJ 8|1|PUNCT],[v|want] [pro:obj|me] [inf|to] [v|give] [pro:obj|him] [det:art|a] [n|kiss ?],,,,,,,,,,MotherofViolet_Violet010200_124
,125,Mother,Violet010200,oh .,Violet,777.848,785.711,[],[1|0|INCROOT 2|1|PUNCT],[co|oh .],,,,,,,,,,MotherofViolet_Violet010200_125
,126,Mother,Violet010200,you're so nice .,Violet,785.711,788.551,[],[1|2|SUBJ 2|0|ROOT] [3|4|JCT] [4|2|PRED 5|2|PUNCT],[pro:per|you~aux|be&PRES] [adv|so] [adj|nice .],,,,,,,,,,MotherofViolet_Violet010200_126
,127,Violet,Violet010200,xxx .,Violet,788.551,801.816,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_127
,128,Violet,Violet010200,yyy .,Violet,801.818,803.496,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_128
,129,Violet,Violet010200,xxx .,Violet,803.496,843.915,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_129
,130,Mother,Violet010200,we gotta change your bum bum .,Violet,843.916,852.545,"MOT pulls away the game to reveal all the pieces , CHI picks them up",[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|6|MOD] [5|6|MOD] [6|3|OBJ 7|3|PUNCT],[pro:sub|we] [mod:aux|gotta] [v|change] [det:poss|your] [adj|bum] [n|bum .],,,,,,,,,,MotherofViolet_Violet010200_130
,131,Mother,Violet010200,oh you got lots huh ?,Violet,852.546,893.13,"MOT starts picking things up from the floor , CHI continues to play",[1|3|COM] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ] [5|3|COM 6|3|PUNCT],[co|oh] [pro:per|you] [v|get&PAST] [n|lot-PL] [co|huh ?],,,,,,,,,,MotherofViolet_Violet010200_131
,132,Mother,Violet010200,alright mommy's going to clean up .,Violet,893.13,896.13,[],[1|4|COM] [2|4|SUBJ 3|4|AUX] [4|0|ROOT] [5|6|INF] [6|4|XCOMP] [7|6|JCT 8|4|PUNCT],[co|alright] [n|mommy~aux|be&3S] [part|go-PRESP] [inf|to] [v|clean] [adv|up .],,,,,,,,,,MotherofViolet_Violet010200_132
,133,Violet,Violet010200,yyy .,Violet,896.13,965.885,MOT continues to clean up,[],[],,,,,,,,,,VioletofViolet_Violet010200_133
,134,Violet,Violet010200,yyy .,Violet,965.886,967.945,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_134
,135,Violet,Violet010200,xxx xxx .,Violet,967.945,986.328,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_135
,136,Mother,Violet010200,wanna say hi to teddy ?,Violet,986.328,990.616,"CHI takes teddy bear , holds it , then puts it down",[1|2|AUX] [2|0|ROOT] [3|2|OBJ] [4|3|JCT] [5|4|POBJ 6|2|PUNCT],[mod:aux|wanna] [v|say] [co|hi] [prep|to] [n|teddy ?],,,,,,,,,,MotherofViolet_Violet010200_136
,137,Violet,Violet010200,xxx .,Violet,990.616,1010.248,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_137
,138,Mother,Violet010200,who's that ?,Violet,1010.248,1016.945,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|who~cop|be&3S] [pro:dem|that ?],,,,,,,,,,MotherofViolet_Violet010200_138
,139,Mother,Violet010200,who's that teddy ?,Violet,1016.945,1020.42,CHI pushes teddy bear back into MOT's hands,[1|2|SUBJ 2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT],[pro:int|who~cop|be&3S] [pro:dem|that] [n|teddy ?],,,,,,,,,,MotherofViolet_Violet010200_139
,140,Mother,Violet010200,you don't want to ?,Violet,1020.42,1025.642,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|4|JCT 6|4|PUNCT],[pro:per|you] [mod|do~neg|not] [v|want] [prep|to ?],,,,,,,,,,MotherofViolet_Violet010200_140
,141,Mother,Violet010200,no .,Violet,1025.642,1028.725,[],[1|0|INCROOT 2|1|PUNCT],[co|no .],,,,,,,,,,MotherofViolet_Violet010200_141
,142,Mother,Violet010200,are ya (replacement:replacement:you) done ?,Violet,1028.725,1030.915,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[cop|be&PRES] [pro:per|you] [part|do&PASTP ?],,,,,,,,,,MotherofViolet_Violet010200_142
,143,Violet,Violet010200,yyy .,Violet,1030.915,1033.943,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_143
,144,Mother,Violet010200,no you don't want the teddy ?,Violet,1033.943,1035.843,[],[1|5|COM] [2|5|SUBJ] [3|5|AUX 4|3|NEG] [5|0|ROOT] [6|7|DET] [7|5|OBJ 8|5|PUNCT],[co|no] [pro:per|you] [mod|do~neg|not] [v|want] [det:art|the] [n|teddy ?],,,,,,,,,,MotherofViolet_Violet010200_144
,145,Mother,Violet010200,teddy's (replacement:replacement:teddy is) nice .,Violet,1035.843,1039.834,CHI reaches over and hugs the teddy bear,[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[n|teddy cop|be&3S] [adj|nice .],,,,,,,,,,MotherofViolet_Violet010200_145
,146,Mother,Violet010200,"oh , nice hug .",Violet,1039.834,1046.155,"one of the velcro gamepieces got stuck to CHI , MOT pulls it off",[1|4|COM 2|1|LP] [3|4|MOD] [4|0|INCROOT 5|4|PUNCT],[co|oh cm|cm] [adj|nice] [n|hug .],,,,,,,,,,MotherofViolet_Violet010200_146
,147,Mother,Violet010200,uhoh .,Violet,1046.155,1054.66,[],[1|0|INCROOT 2|1|PUNCT],[co|uhoh .],,,,,,,,,,MotherofViolet_Violet010200_147
,148,Mother,Violet010200,you can stick them on here look .,Violet,1054.66,1064.706,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|3|OBJ] [5|3|JCT] [6|7|JCT] [7|5|POBJ 8|3|PUNCT],[pro:per|you] [mod|can] [v|stick] [pro:obj|them] [prep|on] [adv|here] [v|look .],,,,,,,,,,MotherofViolet_Violet010200_148
,149,Mother,Violet010200,I'll put teddy here .,Violet,1064.706,1069.611,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|OBJ] [5|3|JCT 6|3|PUNCT],[pro:sub|I~mod|will] [v|put&ZERO] [n|teddy] [adv|here .],,,,,,,,,,MotherofViolet_Violet010200_149
,150,Violet,Violet010200,xxx .,Violet,1069.611,1079.318,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_150
,151,Violet,Violet010200,xxx .,Violet,1079.318,1082.681,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_151
,152,Violet,Violet010200,xxx .,Violet,1082.681,1109.078,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_152
,153,Mother,Violet010200,you remember when we saw the kitty cats yesterday Violet ?,Violet,1109.078,1120.076,[],[1|2|SUBJ] [2|0|ROOT] [3|5|LINK] [4|5|SUBJ] [5|2|CJCT] [6|8|DET] [7|8|MOD] [8|5|OBJ] [9|10|JCT] [10|8|APP 11|2|PUNCT],[pro:per|you] [v|remember] [conj|when] [pro:sub|we] [v|see&PAST] [det:art|the] [n|kitty] [n|cat-PL] [adv:tem|yesterday] [n:prop|Violet ?],,,,,,,,,,MotherofViolet_Violet010200_153
,154,Mother,Violet010200,did you see a kitty cat yesterday .,Violet,1120.076,1122.575,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|6|DET] [5|6|MOD] [6|3|OBJ] [7|6|POSTMOD 8|3|PUNCT],[v|do&PAST] [pro:per|you] [v|see] [det:art|a] [n|kitty] [n|cat] [adv:tem|yesterday .],,,,,,,,,,MotherofViolet_Violet010200_154
,155,Mother,Violet010200,did you see the tiny kitty ?,Violet,0.0,0.0,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|6|DET] [5|6|MOD] [6|3|OBJ 7|3|PUNCT],[v|do&PAST] [pro:per|you] [v|see] [det:art|the] [adj|tiny] [n|kitty ?],,,,,,,,,,MotherofViolet_Violet010200_155
,156,Mother,Violet010200,there's no kitty here .,Violet,1122.575,1126.656,[],[1|2|SUBJ 2|0|ROOT] [3|4|QUANT] [4|2|PRED] [5|4|NJCT 6|2|PUNCT],[pro:exist|there~cop|be&3S] [qn|no] [n|kitty] [adv|here .],,,,,,,,,,MotherofViolet_Violet010200_156
,157,Mother,Violet010200,remember when we saw the kitty cat at Jessica's house ?,Violet,1126.656,1129.688,[],[1|0|ROOT] [2|4|LINK] [3|4|SUBJ] [4|1|CJCT] [5|7|DET] [6|7|MOD] [7|4|OBJ] [8|7|NJCT] [9|11|MOD 10|9|POSS] [11|8|POBJ 12|1|PUNCT],[v|remember] [conj|when] [pro:sub|we] [v|see&PAST] [det:art|the] [n|kitty] [n|cat] [prep|at] [n:prop|Jessica~poss|s] [n|house ?],,,,,,,,,,MotherofViolet_Violet010200_157
,158,Violet,Violet010200,xxx .,Violet,1129.688,1134.328,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_158
,159,Violet,Violet010200,yyy yyy .,Violet,1134.328,1135.485,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_159
,160,Mother,Violet010200,do ya (replacement:replacement:you) remember ?,Violet,1135.485,1137.108,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[mod|do] [pro:per|you] [v|remember ?],,,,,,,,,,MotherofViolet_Violet010200_160
,161,Mother,Violet010200,we saw kitty cats .,Violet,1137.108,1139.885,[],[1|2|SUBJ] [2|0|ROOT] [3|4|MOD] [4|2|OBJ 5|2|PUNCT],[pro:sub|we] [v|see&PAST] [n|kitty] [n|cat-PL .],,,,,,,,,,MotherofViolet_Violet010200_161
,162,Mother,Violet010200,"and the kitty , little tiny tiny tiny kitties say meow meow .",Violet,1139.885,1144.748,[],[1|0|INCROOT] [2|3|DET] [3|1|COORD 4|3|LP] [5|9|MOD] [6|9|MOD] [7|9|MOD] [8|9|MOD] [9|11|SUBJ] [10|11|AUX] [11|3|CMOD] [12|11|OBJ 13|1|PUNCT],[coord|and] [det:art|the] [n|kitty cm|cm] [adj|little] [adj|tiny] [adj|tiny] [adj|tiny] [n|kitty-PL] [v|say] [v|meow] [on|meow .],,,,,,,,,,MotherofViolet_Violet010200_162
,163,Violet,Violet010200,yyy xxx yyy .,Violet,1144.748,1151.853,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_163
,164,Mother,Violet010200,"meow , meow .",Violet,1151.853,1153.98,[],[1|0|ROOT 2|1|LP] [3|1|ENUM 4|1|PUNCT],[v|meow cm|cm] [on|meow .],,,,,,,,,,MotherofViolet_Violet010200_164
,165,Violet,Violet010200,xxx .,Violet,1153.98,1186.22,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_165
,166,Mother,Violet010200,oh .,Violet,1186.22,1188.028,[],[1|0|INCROOT 2|1|PUNCT],[co|oh .],,,,,,,,,,MotherofViolet_Violet010200_166
,167,Father,Violet010200,xxx .,Violet,0.0,0.0,[],[],[],,,,,,,,,,FatherofViolet_Violet010200_167
,168,Mother,Violet010200,"huh , huh , yeah .",Violet,1188.028,1194.028,[],[1|5|COM 2|1|LP] [3|1|ENUM 4|3|LP] [5|0|INCROOT 6|5|PUNCT],[co|huh cm|cm] [co|huh cm|cm] [co|yeah .],,,,,,,,,,MotherofViolet_Violet010200_168
,169,Father,Violet010200,xxx .,Violet,0.0,0.0,[],[],[],,,,,,,,,,FatherofViolet_Violet010200_169
,170,Mother,Violet010200,but she said that's the regular stuff right ?,Violet,1194.028,1196.885,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|5|SUBJ 5|3|COMP] [6|8|DET] [7|8|MOD] [8|5|PRED] [9|8|POSTMOD 10|3|PUNCT],[conj|but] [pro:sub|she] [v|say&PAST] [pro:dem|that~cop|be&3S] [det:art|the] [adj|regular] [n|stuff] [adj|right ?],,,,,,,,,,MotherofViolet_Violet010200_170
,171,Father,Violet010200,sure .,Violet,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[adj|sure .],,,,,,,,,,FatherofViolet_Violet010200_171
,172,Father,Violet010200,I didn't know if it was suppose to be sensitive .,Violet,1196.885,1201.396,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|8|LINK] [6|8|SUBJ] [7|8|AUX] [8|4|COMP] [9|10|INF] [10|8|XCOMP] [11|10|PRED 12|4|PUNCT],[pro:sub|I] [mod|do&PAST~neg|not] [v|know] [conj|if] [pro:per|it] [aux|be&PAST&13S] [v|suppose] [inf|to] [cop|be] [adj|sensitive .],,,,,,,,,,FatherofViolet_Violet010200_172
,173,Mother,Violet010200,"well , no I mean .",Violet,0.0,0.0,[],[1|5|COM 2|1|LP] [3|4|QUANT] [4|5|SUBJ] [5|0|ROOT 6|5|PUNCT],[co|well cm|cm] [qn|no] [pro:sub|I] [v|mean .],,,,,,,,,,MotherofViolet_Violet010200_173
,174,Father,Violet010200,you see any shirts in there ?,Violet,1201.396,1206.436,[],[1|2|SUBJ] [2|0|ROOT] [3|4|QUANT] [4|2|OBJ] [5|2|JCT] [6|5|POBJ 7|2|PUNCT],[pro:per|you] [v|see] [qn|any] [n|shirt-PL] [prep|in] [adv|there ?],,,,,,,,,,FatherofViolet_Violet010200_174
,175,Mother,Violet010200,yeah the blue .,Violet,0.0,0.0,[],[1|3|COM] [2|3|DET] [3|0|INCROOT 4|3|PUNCT],[co|yeah] [det:art|the] [n|blue .],,,,,,,,,,MotherofViolet_Violet010200_175
,176,Father,Violet010200,long sleeve one .,Violet,0.0,0.0,[],[1|2|MOD] [2|0|INCROOT] [3|2|OBJ 4|2|PUNCT],[adj|long] [n|sleeve] [pro:indef|one .],,,,,,,,,,FatherofViolet_Violet010200_176
,177,Father,Violet010200,xxx .,Violet,1206.436,1208.131,[],[],[],,,,,,,,,,FatherofViolet_Violet010200_177
,178,Mother,Violet010200,rewash ?,Violet,1208.131,1209.995,[],[1|0|INCROOT 2|1|PUNCT],[re#v|wash ?],,,,,,,,,,MotherofViolet_Violet010200_178
,179,Father,Violet010200,"you know what I need , I just realized .",Violet,1209.995,1212.546,[],[1|2|SUBJ] [2|0|ROOT] [3|5|LINK] [4|5|SUBJ] [5|2|COMP 6|5|LP] [7|9|SUBJ] [8|9|JCT] [9|5|COMP 10|2|PUNCT],[pro:per|you] [v|know] [pro:int|what] [pro:sub|I] [v|need cm|cm] [pro:sub|I] [adv|just] [part|realize-PASTP .],,,,,,,,,,FatherofViolet_Violet010200_179
,180,Mother,Violet010200,what ?,Violet,1212.546,1213.09,[],[1|0|INCROOT 2|1|PUNCT],[pro:int|what ?],,,,,,,,,,MotherofViolet_Violet010200_180
,181,Father,Violet010200,"in addition to , what were the things I mentioned before ?",Violet,1213.09,1219.011,[],[1|6|JCT] [2|1|POBJ] [3|4|INF 4|2|LP] [5|6|SUBJ] [6|0|ROOT] [7|8|DET] [8|6|PRED] [9|10|SUBJ] [10|8|XMOD] [11|10|JCT 12|6|PUNCT],[prep|in] [n|addition] [inf|to cm|cm] [det:int|what] [cop|be&PAST] [det:art|the] [n|thing-PL] [pro:sub|I] [part|mention-PASTP] [adv|before ?],,,,,,,,,,FatherofViolet_Violet010200_181
,182,Mother,Violet010200,I don't know .,Violet,1219.011,1220.748,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT 5|4|PUNCT],[pro:sub|I] [mod|do~neg|not] [v|know .],,,,,,,,,,MotherofViolet_Violet010200_182
,183,Father,Violet010200,"xxx , the replacement blades for my razor .",Violet,1220.748,1227.08,[],[1|0|INCROOT] [2|4|DET] [3|4|MOD] [4|1|OBJ] [5|4|NJCT] [6|7|MOD] [7|5|POBJ 8|1|PUNCT],[cm|cm] [det:art|the] [n|replacement] [n|blade-PL] [prep|for] [det:poss|my] [n|razor .],,,,,,,,,,FatherofViolet_Violet010200_183
,184,Mother,Violet010200,yeah .,Violet,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,MotherofViolet_Violet010200_184
,185,Mother,Violet010200,okay .,Violet,1227.08,1229.683,[],[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,MotherofViolet_Violet010200_185
,186,Father,Violet010200,my electric razor .,Violet,0.0,0.0,[],[1|3|MOD] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[det:poss|my] [n|electric] [n|razor .],,,,,,,,,,FatherofViolet_Violet010200_186
,187,Father,Violet010200,"and &-um , some casual but business shirts .",Violet,1229.683,1237.625,"CHI sees something , darts off away from the camera",[1|0|INCROOT] [2|1|LP] [3|4|QUANT] [4|1|COORD] [5|4|CONJ] [6|7|MOD] [7|5|COORD 8|1|PUNCT],[coord|and] [cm|cm] [qn|some] [adj|casual] [conj|but] [n|business] [n|shirt-PL .],,,,,,,,,,FatherofViolet_Violet010200_187
,188,Violet,Violet010200,yyy .,Violet,1237.625,1241.26,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_188
,189,Violet,Violet010200,"yyy , yyy .",Violet,1241.26,1244.033,[],[1|0|INCROOT] [2|1|PUNCT],[cm|cm] [.],,,,,,,,,,VioletofViolet_Violet010200_189
,190,Father,Violet010200,xxx .,Violet,0.0,0.0,[],[],[],,,,,,,,,,FatherofViolet_Violet010200_190
,191,Violet,Violet010200,"yyy , yyy .",Violet,1244.033,1246.41,[],[1|0|INCROOT] [2|1|PUNCT],[cm|cm] [.],,,,,,,,,,VioletofViolet_Violet010200_191
,192,Father,Violet010200,that make sense ?,Violet,0.0,0.0,[],[1|2|LINK] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[pro:rel|that] [v|make] [n|sense ?],,,,,,,,,,FatherofViolet_Violet010200_192
,193,Violet,Violet010200,"yyy , yyy , yyy , yyy , xxx , xxx .",Violet,1246.21,1254.016,[],[1|0|INCROOT] [2|1|LP] [3|1|LP] [4|1|LP] [5|1|LP] [6|1|PUNCT],[cm|cm] [cm|cm] [cm|cm] [cm|cm] [cm|cm] [.],,,,,,,,,,VioletofViolet_Violet010200_193
,194,Mother,Violet010200,it makes sense but it's too late ,Violet,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|11|LINK] [5|8|SUBJ 6|8|AUX] [7|8|JCT],[pro:per|it] [v|make-3S] [n|sense] [conj|but] [pro:per|it~aux|be&3S] [adv|too] [adj|late cm|cm],,,,,,,,,,MotherofViolet_Violet010200_194
