Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
,23,Mother,Violet010200,"or this one , this is a good one .",Violet,102.181,108.161,[],[1|3|LINK] [2|3|DET] [3|6|LINK 4|3|LP] [5|6|SUBJ] [6|0|ROOT] [7|9|DET] [8|9|MOD] [9|6|PRED 10|6|PUNCT],[coord|or] [pro:dem|this] [pro:indef|one cm|cm] [pro:dem|this] [cop|be&3S] [det:art|a] [adj|good] [pro:indef|one .],,,,,,,,,,MotherofViolet_Violet010200_23
,24,Mother,Violet010200,about hats .,Violet,108.161,116.35,MOT reads a book to CHI,[1|0|INCROOT] [2|1|POBJ 3|1|PUNCT],[prep|about] [n|hat-PL .],,,,,,,,,,MotherofViolet_Violet010200_24
,25,Mother,Violet010200,bear needs a hat,Violet,116.351,120.255,[],[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|4|LP],[n|bear] [v|need-3S] [det:art|a] [n|hat cm|cm],,,,,,,,,,MotherofViolet_Violet010200_25
,25,Mother,Violet010200,will daddy's yellow hat fit ?,Violet,0.0,0.0,[],[6|10|AUX] [7|10|MOD 8|7|POSS] [9|10|MOD] [10|11|SUBJ] [11|4|CJCT 12|2|PUNCT],[mod|will] [n|daddy~poss|s] [n|yellow] [n|hat] [v|fit&ZERO ?],,,,,,,,,,MotherofViolet_Violet010200_25
,26,Mother,Violet010200,"no , the yellow hat is too big .",Violet,120.255,124.301,[],[1|8|COM 2|1|LP] [3|5|DET] [4|5|MOD] [5|8|SUBJ] [6|8|AUX] [7|8|JCT] [8|0|ROOT 9|8|PUNCT],[co|no cm|cm] [det:art|the] [n|yellow] [n|hat] [aux|be&3S] [adv|too] [adj|big .],,,,,,,,,,MotherofViolet_Violet010200_26
,27,Mother,Violet010200,see the hat ?,Violet,124.301,125.303,[],[1|0|ROOT] [2|3|DET] [3|1|OBJ 4|1|PUNCT],[v|see] [det:art|the] [n|hat ?],,,,,,,,,,MotherofViolet_Violet010200_27
,28,Mother,Violet010200,what's this ?,Violet,125.303,130.975,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|this ?],,,,,,,,,,MotherofViolet_Violet010200_28
,29,Mother,Violet010200,hat .,Violet,130.975,133.453,[],[1|0|INCROOT 2|1|PUNCT],[n|hat .],,,,,,,,,,MotherofViolet_Violet010200_29
,30,Mother,Violet010200,will baby's blue hat fit ?,Violet,133.453,138.51,[],[1|6|AUX] [2|5|MOD 3|2|POSS] [4|5|MOD] [5|6|SUBJ] [6|0|ROOT 7|6|PUNCT],[mod|will] [n|baby~poss|s] [n|blue] [n|hat] [v|fit&ZERO ?],,,,,,,,,,MotherofViolet_Violet010200_30
,31,Mother,Violet010200,no the blue hat is too small .,Violet,138.51,142.105,[],[1|4|QUANT] [2|4|DET] [3|4|MOD] [4|7|SUBJ] [5|7|AUX] [6|7|JCT] [7|0|ROOT 8|7|PUNCT],[qn|no] [det:art|the] [n|blue] [n|hat] [aux|be&3S] [adv|too] [adj|small .],,,,,,,,,,MotherofViolet_Violet010200_31
,32,Mother,Violet010200,what's that ?,Violet,142.105,145.656,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|that ?],,,,,,,,,,MotherofViolet_Violet010200_32
,33,Mother,Violet010200,balloon .,Violet,145.656,148.636,[],[1|0|INCROOT 2|1|PUNCT],[n|balloon .],,,,,,,,,,MotherofViolet_Violet010200_33
,34,Violet,Violet010200,&-um yyy .,Violet,148.636,151.796,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_34
,35,Mother,Violet010200,a balloon .,Violet,151.796,155.518,[],[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|a] [n|balloon .],,,,,,,,,,MotherofViolet_Violet010200_35
,36,Mother,Violet010200,and a hat and a bear .,Violet,155.518,161.825,[],[1|0|INCROOT] [2|3|DET] [3|1|COORD] [4|3|CONJ] [5|6|DET] [6|4|COORD 7|1|PUNCT],[coord|and] [det:art|a] [n|hat] [coord|and] [det:art|a] [n|bear .],,,,,,,,,,MotherofViolet_Violet010200_36
,37,Mother,Violet010200,what's this ?,Violet,161.825,166.636,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|this ?],,,,,,,,,,MotherofViolet_Violet010200_37
,38,Mother,Violet010200,hat .,Violet,166.636,170.633,[],[1|0|INCROOT 2|1|PUNCT],[n|hat .],,,,,,,,,,MotherofViolet_Violet010200_38
,39,Mother,Violet010200,can bear wear mommy's red hat,Violet,0.0,0.0,[],[1|2|AUX] [2|0|ROOT] [3|2|OBJ] [4|7|MOD 5|4|POSS] [6|7|MOD]|PUNCT],[mod|can] [v|bear] [v|wear] [n|mommy~poss|s] [n|red] [n|hat cm|cm],,,,,,,,,,MotherofViolet_Violet010200_39
