Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
127,Mother,Lily020909,it's Swiper !,Lily,0.0,0.0,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:per|it~aux|be&3S] [n:prop|Swiper !],,,,,,,,,,MotherofLily_Lily020909_127
128,Mother,Lily020909,"we did it , you helped us find Boots' bag of candy !",Lily,278.376,284.72,[],[1|3|SUBJ] [2|3|AUX] [3|6|JCT 4|3|LP] [5|6|SUBJ] [6|0|ROOT] [7|6|OBJ] [8|6|XCOMP] [9|11|MOD 10|9|POSS] [11|8|OBJ] [12|11|NJCT] [13|12|POBJ 14|6|PUNCT],[pro:sub|we] [mod|do&PAST] [pro:per|it cm|cm] [pro:per|you] [v|help-PAST] [pro:obj|us] [v|find] [n:prop|Boots~poss|s] [n|bag] [prep|of] [n|candy !],,,,,,,,,,MotherofLily_Lily020909_128
129,Mother,Lily020909,happy Halloween !,Lily,284.72,287.315,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[adj|happy] [n:prop|Halloween !],,,,,,,,,,MotherofLily_Lily020909_129
130,Mother,Lily020909,oh .,Lily,287.315,290.216,[],[1|0|INCROOT 2|1|PUNCT],[co|oh .],,,,,,,,,,MotherofLily_Lily020909_130
131,Mother,Lily020909,xxx .,Lily,290.216,290.783,gasps,[],[],,,,,,,,,,MotherofLily_Lily020909_131
132,Lily,Lily020909,Benny .,Lily,290.783,293.775,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Benny .],,,,,,,,,,LilyofLily_Lily020909_132
133,Mother,Lily020909,"Benny , what's Benny dressed up as ?",Lily,0.0,0.0,[],[1|6|LINK 2|1|LP] [3|5|MOD 4|3|POSS] [5|6|SUBJ] [6|0|ROOT] [7|6|JCT] [8|6|JCT 9|6|PUNCT],[n:prop|Benny cm|cm] [pro:int|what~poss|s] [n:prop|Benny] [v|dress-PAST] [adv|up] [adv|as ?],,,,,,,,,,MotherofLily_Lily020909_133
134,Lily,Lily020909,Frankenstein .,Lily,293.775,297.343,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Frankenstein .],,,,,,,,,,LilyofLily_Lily020909_134
135,Mother,Lily020909,Frankenstein .,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Frankenstein .],,,,,,,,,,MotherofLily_Lily020909_135
136,Lily,Lily020909,xxx he's dressed up as a witch .,Lily,297.343,302.946,[],[] [1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|3|JCT] [6|7|DET] [7|5|POBJ 8|3|PUNCT],[] [pro:sub|he~aux|be&3S] [part|dress-PASTP] [adv|up] [prep|as] [det:art|a] [n|witch .],,,,,,,,,,LilyofLily_Lily020909_136
