Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
45,Alex,Alex020523,green !,Alex,90.245,91.708,[],[1|0|INCROOT 2|1|PUNCT],[n|green !],,,,,,,,,,AlexofAlex_Alex020523_45
46,Alex,Alex020523,look at the green .,Alex,91.708,93.941,[],[1|0|ROOT] [2|1|JCT] [3|4|DET] [4|2|POBJ 5|1|PUNCT],[v|look] [prep|at] [det:art|the] [n|green .],,,,,,,,,,AlexofAlex_Alex020523_46
47,Mother,Alex020523,okay .,Alex,93.941,95.146,[],[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,MotherofAlex_Alex020523_47
48,Alex,Alex020523,the green .,Alex,95.146,102.011,[],[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|the] [n|green .],,,,,,,,,,AlexofAlex_Alex020523_48
49,Mother,Alex020523,where did Mommy put it .,Alex,0.0,0.0,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|4|OBJ 6|4|PUNCT],[adv:int|where] [mod|do&PAST] [n:prop|Mommy] [v|put&ZERO] [pro:per|it .],,,,,,,,,,MotherofAlex_Alex020523_49
50,Alex,Alex020523,yyy .,Alex,102.011,110.303,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_50
51,Alex,Alex020523,Mommy fix ?,Alex,110.303,113.058,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[n:prop|Mommy] [v|fix ?],,,,,,,,,,AlexofAlex_Alex020523_51
52,Alex,Alex020523,Mommy can you fix ?,Alex,113.058,115.3,[],[1|4|SUBJ] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[n:prop|Mommy] [mod|can] [pro:per|you] [v|fix ?],,,,,,,,,,AlexofAlex_Alex020523_52
53,Mother,Alex020523,let me see xxx .,Alex,115.3,116.25,[],[1|0|ROOT] [2|1|OBJ] [3|1|XCOMP] [4|1|PUNCT],[v|let&ZERO] [pro:obj|me] [v|see] [.],,,,,,,,,,MotherofAlex_Alex020523_53
54,Mother,Alex020523,what's this ?,Alex,116.251,117.046,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|this ?],,,,,,,,,,MotherofAlex_Alex020523_54
55,Mother,Alex020523,give it a little squeeze .,Alex,117.046,119.84,MOT shows CHI what to do with clay,[1|0|ROOT] [2|1|OBJ] [3|5|DET] [4|5|MOD] [5|1|OBJ 6|1|PUNCT],[v|give] [pro:per|it] [det:art|a] [adj|little] [n|squeeze .],,,,,,,,,,MotherofAlex_Alex020523_55
56,Mother,Alex020523,see like that .,Alex,119.84,121.116,[],[1|0|ROOT] [2|1|JCT] [3|2|POBJ 4|1|PUNCT],[v|see] [prep|like] [pro:dem|that .],,,,,,,,,,MotherofAlex_Alex020523_56
57,Alex,Alex020523,that .,Alex,121.385,122.036,[],[1|0|INCROOT 2|1|PUNCT],[pro:dem|that .],,,,,,,,,,AlexofAlex_Alex020523_57
58,Mother,Alex020523,like that .,Alex,122.035,122.45,[],[1|0|INCROOT] [2|1|POBJ 3|1|PUNCT],[prep|like] [pro:dem|that .],,,,,,,,,,MotherofAlex_Alex020523_58
59,Mother,Alex020523,like you're cracking an egg .,Alex,122.45,123.7,[],[1|4|LINK] [2|4|SUBJ 3|4|AUX] [4|0|ROOT] [5|6|DET] [6|4|OBJ 7|4|PUNCT],[conj|like] [pro:per|you~aux|be&PRES] [part|crack-PRESP] [det:art|a] [n|egg .],,,,,,,,,,MotherofAlex_Alex020523_59
60,Alex,Alex020523,crack a (replacement:replacement:an) egg .,Alex,124.08,124.576,[],[1|0|ROOT] [2|3|DET] [3|1|OBJ 4|1|PUNCT],[v|crack] [det:art|a] [n|egg .],,,,,,,,,,AlexofAlex_Alex020523_60
61,Mother,Alex020523,xxx yeah .,Alex,124.576,124.96,[],[] [1|0|INCROOT 2|1|PUNCT],[] [co|yeah .],,,,,,,,,,MotherofAlex_Alex020523_61
62,Mother,Alex020523,like when ya (replacement:replacement:you) cook .,Alex,124.96,126.015,[],[1|4|COM] [2|4|LINK] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[co|like] [conj|when] [pro:per|you] [v|cook .],,,,,,,,,,MotherofAlex_Alex020523_62
63,Mother,Alex020523,ya (replacement:replacement:you) crack it .,Alex,126.015,126.971,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[pro:per|you] [v|crack] [pro:per|it .],,,,,,,,,,MotherofAlex_Alex020523_63
64,Mother,Alex020523,go boop .,Alex,126.971,127.98,[],[1|0|ROOT] [2|1|COM 3|1|PUNCT],[v|go] [co|boop .],,,,,,,,,,MotherofAlex_Alex020523_64
65,Mother,Alex020523,okay ?,Alex,127.983,129.726,[],[1|0|INCROOT 2|1|PUNCT],[co|okay ?],,,,,,,,,,MotherofAlex_Alex020523_65
66,Alex,Alex020523,no no yyy .,Alex,129.728,132.58,[],[1|2|COM] [2|0|INCROOT] [3|2|PUNCT],[co|no] [co|no] [.],,,,,,,,,,AlexofAlex_Alex020523_66
67,Alex,Alex020523,okay yyy Mommy .,Alex,132.58,133.761,[],[1|2|COM] [] [2|0|ROOT 3|2|PUNCT],[co|okay] [] [n:prop|Mommy .],,,,,,,,,,AlexofAlex_Alex020523_67
68,Alex,Alex020523,okay yyy .,Alex,133.761,135.62,[],[1|0|INCROOT] [2|1|PUNCT],[co|okay] [.],,,,,,,,,,AlexofAlex_Alex020523_68
69,Alex,Alex020523,help me yyy .,Alex,135.62,137.558,[],[1|0|ROOT] [2|1|OBJ] [3|1|PUNCT],[v|help] [pro:obj|me] [.],,,,,,,,,,AlexofAlex_Alex020523_69
70,Mother,Alex020523,what ?,Alex,137.558,137.86,[],[1|0|INCROOT 2|1|PUNCT],[pro:int|what ?],,,,,,,,,,MotherofAlex_Alex020523_70
71,Alex,Alex020523,no Mommy .,Alex,137.9,138.76,[],[1|2|COM] [2|0|ROOT 3|2|PUNCT],[co|no] [n:prop|Mommy .],,,,,,,,,,AlexofAlex_Alex020523_71
72,Alex,Alex020523,no no Mommy .,Alex,138.76,140.493,[],[1|3|COM] [2|3|COM] [3|0|ROOT 4|3|PUNCT],[co|no] [co|no] [n:prop|Mommy .],,,,,,,,,,AlexofAlex_Alex020523_72
73,Mother,Alex020523,what's the matter ?,Alex,140.493,141.24,[],[1|4|LINK 2|4|AUX] [3|4|DET] [4|0|ROOT 5|4|PUNCT],[pro:int|what~aux|be&3S] [det:art|the] [v|matter ?],,,,,,,,,,MotherofAlex_Alex020523_73
74,Alex,Alex020523,no look this .,Alex,141.24,142.39600000000002,[],[1|2|COM] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[co|no] [v|look] [pro:dem|this .],,,,,,,,,,AlexofAlex_Alex020523_74
75,Alex,Alex020523,yyy .,Alex,142.395,144.131,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_75
76,Mother,Alex020523,xxx what ?,Alex,144.13,144.581,[],[] [1|0|INCROOT 2|1|PUNCT],[] [pro:int|what ?],,,,,,,,,,MotherofAlex_Alex020523_76
77,Alex,Alex020523,{ look (?) } that Mommy .,Alex,144.581,145.55,[],[1|0|ROOT] [2|3|LINK] [3|1|COMP 4|1|PUNCT],[v|look] [pro:rel|that] [n:prop|Mommy .],,,,,,,,,,AlexofAlex_Alex020523_77
78,Mother,Alex020523,put what ?,Alex,145.55,146.505,[],[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|put&ZERO] [pro:int|what ?],,,,,,,,,,MotherofAlex_Alex020523_78
79,Alex,Alex020523,yyy .,Alex,146.505,147.6,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_79
80,Alex,Alex020523,xxx .,Alex,147.6,149.57,"blowing noises , slight noise in background possibly drips from faucet",[],[],,,,,,,,,,AlexofAlex_Alex020523_80
81,Alex,Alex020523,yyy .,Alex,149.57,151.416,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_81
82,Mother,Alex020523,no like this .,Alex,0.0,0.0,[],[1|0|INCROOT] [2|1|JCT] [3|2|POBJ 4|1|PUNCT],[qn|no] [prep|like] [pro:dem|this .],,,,,,,,,,MotherofAlex_Alex020523_82
83,Alex,Alex020523,yyy hand .,Alex,151.435,152.675,[],[] [1|0|INCROOT 2|1|PUNCT],[] [n|hand .],,,,,,,,,,AlexofAlex_Alex020523_83
84,Mother,Alex020523,no that's not the (t:t:self interruption),Alex,152.675,154.166,[],[1|3|COM] [2|3|SUBJ 3|0|ROOT] [4|3|NEG] [5|3|PRED 6|3|PUNCT],[co|no] [pro:dem|that~cop|be&3S] [neg|not] [det:art|the (mt:self interruption)],,,,,,,,,,MotherofAlex_Alex020523_84
85,Mother,Alex020523,that's just Playdoh .,Alex,154.166,155.54500000000002,[],[1|2|SUBJ 2|0|ROOT] [3|4|JCT] [4|2|PRED 5|2|PUNCT],[pro:dem|that~cop|be&3S] [adv|just] [n:prop|Playdoh .],,,,,,,,,,MotherofAlex_Alex020523_85
86,Alex,Alex020523,xxx .,Alex,155.543,157.38,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_86
87,Mother,Alex020523,xxx .,Alex,0.0,0.0,[],[],[],,,,,,,,,,MotherofAlex_Alex020523_87
88,Alex,Alex020523,yyy .,Alex,157.38,160.0,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_88
89,Alex,Alex020523,yyy Mommy .,Alex,160.0,161.63,[],[] [1|0|INCROOT 2|1|PUNCT],[] [n:prop|Mommy .],,,,,,,,,,AlexofAlex_Alex020523_89
90,Mother,Alex020523,hm: ?,Alex,161.63,162.305,[],[1|0|INCROOT 2|1|PUNCT],[co|hm ?],,,,,,,,,,MotherofAlex_Alex020523_90
91,Alex,Alex020523,yyy Mommy .,Alex,162.30599999999998,163.573,[],[] [1|0|INCROOT 2|1|PUNCT],[] [n:prop|Mommy .],,,,,,,,,,AlexofAlex_Alex020523_91
92,Mother,Alex020523,you do it .,Alex,163.573,168.116,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[pro:per|you] [v|do] [pro:per|it .],,,,,,,,,,MotherofAlex_Alex020523_92
93,Mother,Alex020523,"&-uh , where did I put it .",Alex,168.116,180.0,[],[1|0|INCROOT] [2|5|LINK] [3|5|AUX] [4|5|SUBJ] [5|1|COMP] [6|5|OBJ 7|1|PUNCT],[cm|cm] [adv:int|where] [mod|do&PAST] [pro:sub|I] [v|put&ZERO] [pro:per|it .],,,,,,,,,,MotherofAlex_Alex020523_93
94,Alex,Alex020523,xxx .,Alex,181.106,183.185,laughing,[],[],,,,,,,,,,AlexofAlex_Alex020523_94
95,Alex,Alex020523,yyy .,Alex,183.186,185.18,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_95
96,Alex,Alex020523,yyy yyy .,Alex,185.183,195.681,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_96
97,Alex,Alex020523,boo+boo .,Alex,195.68,197.398,[],[1|0|INCROOT 2|1|PUNCT],[n|+on|boo+on|boo .],,,,,,,,,,AlexofAlex_Alex020523_97
98,Mother,Alex020523,where on your knee ?,Alex,197.396,198.51,[],[1|4|LINK] [2|4|JCT] [3|4|MOD] [4|0|INCROOT 5|4|PUNCT],[adv:int|where] [adv|on] [det:poss|your] [n|knee ?],,,,,,,,,,MotherofAlex_Alex020523_98
99,Alex,Alex020523,on my knee .,Alex,198.51,199.99,[],[1|0|INCROOT] [2|3|MOD] [3|1|POBJ 4|1|PUNCT],[prep|on] [det:poss|my] [n|knee .],,,,,,,,,,AlexofAlex_Alex020523_99
100,Mother,Alex020523,yeah but it's getting much better .,Alex,199.99,202.363,[],[1|5|COM] [2|5|LINK] [3|5|SUBJ 4|5|AUX] [5|0|ROOT] [6|5|JCT] [7|5|PRED 8|5|PUNCT],[co|yeah] [conj|but] [pro:per|it~aux|be&3S] [part|get-PRESP] [adv|much] [adj|good&CP .],,,,,,,,,,MotherofAlex_Alex020523_100
101,Alex,Alex020523,much better .,Alex,202.361,203.966,[],[1|2|JCT] [2|0|INCROOT 3|2|PUNCT],[adv|much] [adj|good&CP .],,,,,,,,,,AlexofAlex_Alex020523_101
102,Alex,Alex020523,Mommy help me with .,Alex,203.965,206.058,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|2|JCT 5|2|PUNCT],[n:prop|Mommy] [v|help] [pro:obj|me] [prep|with .],,,,,,,,,,AlexofAlex_Alex020523_102
103,Alex,Alex020523,help me with .,Alex,206.058,207.476,[],[1|0|ROOT 2|1|OBJ 3|1|JCT 4|1|PUNCT],[v|help pro:obj|me prep|with .],,,,,,,,,,AlexofAlex_Alex020523_103
104,Alex,Alex020523,Mom help me with .,Alex,207.478,208.821,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|2|JCT 5|2|PUNCT],[n:prop|Mom] [v|help] [pro:obj|me] [prep|with .],,,,,,,,,,AlexofAlex_Alex020523_104
105,Mother,Alex020523,okay just a moment please .,Alex,208.821,210.578,[],[1|4|COM] [2|4|JCT] [3|4|DET] [4|0|ROOT] [5|4|COM 6|4|PUNCT],[co|okay] [adv|just] [det:art|a] [n|moment] [co|please .],,,,,,,,,,MotherofAlex_Alex020523_105
106,Mother,Alex020523,I'll be there in a second .,Alex,210.578,218.948,something falls in background,[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|3|JCT] [6|7|DET] [7|5|POBJ 8|3|PUNCT],[pro:sub|I~mod|will] [cop|be] [adv|there] [prep|in] [det:art|a] [n|second .],,,,,,,,,,MotherofAlex_Alex020523_106
107,Alex,Alex020523,Mommy help me with .,Alex,218.946,220.995,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|2|JCT 5|2|PUNCT],[n:prop|Mommy] [v|help] [pro:obj|me] [prep|with .],,,,,,,,,,AlexofAlex_Alex020523_107
108,Mother,Alex020523,okay .,Alex,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,MotherofAlex_Alex020523_108
109,Alex,Alex020523,Mommy help me with .,Alex,220.996,227.456,banging in background,[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|2|JCT 5|2|PUNCT],[n:prop|Mommy] [v|help] [pro:obj|me] [prep|with .],,,,,,,,,,AlexofAlex_Alex020523_109
110,Mother,Alex020523,let me see .,Alex,227.455,228.436,[],[1|0|ROOT] [2|1|OBJ] [3|1|XCOMP 4|1|PUNCT],[v|let&ZERO] [pro:obj|me] [v|see .],,,,,,,,,,MotherofAlex_Alex020523_110
111,Alex,Alex020523,come see .,Alex,228.438,233.48,[],[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|come] [v|see .],,,,,,,,,,AlexofAlex_Alex020523_111
112,Alex,Alex020523,help me with .,Alex,233.48,235.431,MOT opens container for CHI,[1|0|ROOT] [2|1|OBJ] [3|1|JCT 4|1|PUNCT],[v|help] [pro:obj|me] [prep|with .],,,,,,,,,,AlexofAlex_Alex020523_112
113,Mother,Alex020523,there you go .,Alex,235.431,238.263,[],[1|3|JCT] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[adv|there] [pro:per|you] [v|go .],,,,,,,,,,MotherofAlex_Alex020523_113
114,Alex,Alex020523,yyy .,Alex,238.261,246.95,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_114
115,Alex,Alex020523,yyy .,Alex,246.95,249.571,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_115
116,Alex,Alex020523,yyy .,Alex,249.571,253.948,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_116
117,Alex,Alex020523,ooh green one .,Alex,253.946,258.506,[],[1|0|ROOT] [2|3|MOD] [3|1|OBJ 4|1|PUNCT],[v|ooh] [adj|green] [pro:indef|one .],,,,,,,,,,AlexofAlex_Alex020523_117
118,Alex,Alex020523,my green one !,Alex,258.506,260.54,[],[1|2|MOD] [2|3|MOD] [3|0|ROOT 4|3|PUNCT],[det:poss|my] [n|green] [pro:indef|one !],,,,,,,,,,AlexofAlex_Alex020523_118
119,Mother,Alex020523,wow: .,Alex,260.54,261.745,[],[1|0|INCROOT 2|1|PUNCT],[co|wow .],,,,,,,,,,MotherofAlex_Alex020523_119
120,Mother,Alex020523,excellent .,Alex,261.745,264.68,[],[1|0|INCROOT 2|1|PUNCT],[adj|excellent .],,,,,,,,,,MotherofAlex_Alex020523_120
121,Alex,Alex020523,here's the white one .,Alex,264.68,267.34,[],[1|2|SUBJ 2|0|ROOT] [3|4|DET] [4|2|PRED] [5|4|XMOD 6|2|PUNCT],[pro:exist|here~cop|be&3S] [det:art|the] [n|white] [pro:indef|one .],,,,,,,,,,AlexofAlex_Alex020523_121
122,Alex,Alex020523,white one my white one .,Alex,267.338,269.826,[],[1|2|MOD] [2|0|INCROOT] [3|4|MOD] [4|5|MOD] [5|2|OBJ 6|2|PUNCT],[adj|white] [pro:indef|one] [det:poss|my] [n|white] [pro:indef|one .],,,,,,,,,,AlexofAlex_Alex020523_122
123,Alex,Alex020523,my white one .,Alex,269.826,271.39,[],[1|2|MOD] [2|0|INCROOT] [3|2|OBJ 4|2|PUNCT],[det:poss|my] [n|white] [pro:indef|one .],,,,,,,,,,AlexofAlex_Alex020523_123
124,Mother,Alex020523,open it .,Alex,271.39,272.181,[],[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|open] [pro:per|it .],,,,,,,,,,MotherofAlex_Alex020523_124
125,Alex,Alex020523,yyy yyy .,Alex,272.18,275.21500000000003,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_125
126,Mother,Alex020523,okay .,Alex,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,MotherofAlex_Alex020523_126
127,Alex,Alex020523,yyy yyy .,Alex,285.05,287.448,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_127
128,Alex,Alex020523,orange .,Alex,287.448,291.245,MOT opens container for CHI,[1|0|INCROOT 2|1|PUNCT],[adj|orange .],,,,,,,,,,AlexofAlex_Alex020523_128
129,Mother,Alex020523,there you go .,Alex,291.245,295.895,[],[1|3|JCT] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[adv|there] [pro:per|you] [v|go .],,,,,,,,,,MotherofAlex_Alex020523_129
