Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,S-lifting,GRASP,Morphology,uttid
476,456,Grandmother,Alex010614,oh where's your phone ?,Alex,1768.716,1770.783,[],,,,,,,,,,,[1|5|COM] [2|5|LINK 3|5|AUX] [4|5|MOD] [5|0|ROOT 6|5|PUNCT],[co|oh] [pro:rel|where~aux|be&3S] [det:poss|your] [n|phone ?],GrandmotherofAlex_Alex010614_456
477,457,Grandmother,Alex010614,watch your head .,Alex,1770.783,1781.795,[],,,,,,,,,,,[1|0|ROOT] [2|3|MOD] [3|1|OBJ 4|1|PUNCT],[v|watch] [det:poss|your] [n|head .],GrandmotherofAlex_Alex010614_457
478,458,Grandmother,Alex010614,get the ball .,Alex,1781.795,1788.311,[],,,,,,,,,,,[1|0|ROOT] [2|3|DET] [3|1|OBJ 4|1|PUNCT],[v|get] [det:art|the] [n|ball .],GrandmotherofAlex_Alex010614_458
479,459,Grandmother,Alex010614,get the ball (.) ,Alex,1788.311,1792.623,[],,,,,,,,,,,[1|4|LINK] [2|3|DET] [3|4|SUBJ] ,[v|get] [det:art|the] [n|ball,GrandmotherofAlex_Alex010614_459
480,459,Grandmother,Alex010614,get that ball .,Alex,0.0,0.0,[],,,,,,,,,,, [4|0|ROOT] [5|6|DET] [6|4|OBJ 7|4|PUNCT],[v|get] [pro:dem|that] [n|ball .],GrandmotherofAlex_Alex010614_459
481,460,Grandmother,Alex010614,where's the car ?,Alex,1792.623,1799.551,[],,,,,,,,,,,[1|2|LINK 2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT],[adv:int|where~cop|be&3S] [det:art|the] [n|car ?],GrandmotherofAlex_Alex010614_460
482,461,Grandmother,Alex010614,what does a car do ?,Alex,1799.551,1800.518,[],,,,,,,,,,,[1|2|LINK] [2|5|OBJ] [3|4|DET] [4|5|SUBJ] [5|0|ROOT 6|5|PUNCT],[pro:int|what] [v|do&3S] [det:art|a] [n|car] [v|do ?],GrandmotherofAlex_Alex010614_461
483,462,Grandmother,Alex010614,what ?,Alex,1800.518,1810.285,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[pro:int|what ?],GrandmotherofAlex_Alex010614_462
484,463,Alex,Alex010614,yyy !,Alex,1810.285,1813.223,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_463
485,464,Grandmother,Alex010614,don't feel good today do you ?,Alex,1813.223,1815.221,[],,,,,,,,,,,[1|3|AUX 2|1|NEG] [3|0|ROOT] [4|3|JCT] [5|6|JCT] [6|3|CJCT] [7|6|OBJ 8|3|PUNCT],[mod|do~neg|not] [v|feel] [adj|good] [adv:tem|today] [v|do] [pro:per|you ?],GrandmotherofAlex_Alex010614_464
486,465,Alex,Alex010614,yyy !,Alex,1815.221,1818.895,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_465
487,466,Mother,Alex010614,would you like something to drink ?,Alex,1818.895,1821.115,[],,,,,,,,,,,[1|2|AUX] [2|0|ROOT] [3|2|CONJ] [4|3|COORD] [5|6|INF] [6|4|XCOMP 7|2|PUNCT],[mod|will&COND] [pro:per|you] [conj|like] [pro:indef|something] [inf|to] [v|drink ?],MotherofAlex_Alex010614_466
488,467,Alex,Alex010614,yyy !,Alex,1821.115,1823.763,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_467
489,468,Grandmother,Alex010614,alright c'mon (replacement:replacement:come on) .,Alex,1823.763,1825.161,[],,,,,,,,,,,[1|2|COM] [2|0|ROOT 3|2|JCT 4|2|PUNCT],[co|alright] [v|come adv|on .],GrandmotherofAlex_Alex010614_468
490,469,Grandmother,Alex010614,Alex .,Alex,1825.161,1832.951,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[n:prop|Alex .],GrandmotherofAlex_Alex010614_469
