Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,S-lifting,GRASP,Morphology,uttid
558,534,Mother,Alex010614,you're alright you have_to watch where you're going honey .,Alex,2079.75,2082.357,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|PRED] [4|6|SUBJ] [5|6|AUX] [6|2|PRED] [7|10|LINK] [8|10|SUBJ 9|10|AUX] [10|6|CMOD] [11|10|COM 12|2|PUNCT],[pro:per|you~cop|be&PRES] [adj|alright] [pro:per|you] [mod:aux|have_to] [n|watch] [adv:int|where] [pro:per|you~aux|be&PRES] [part|go-PRESP] [co|honey .],MotherofAlex_Alex010614_534
559,535,Alex,Alex010614,yyy .,Alex,2082.357,2084.131,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_535
560,536,Alex,Alex010614,yyy .,Alex,2084.131,2089.331,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_536
561,537,Mother,Alex010614,would you like to go on the porch .,Alex,0.0,0.0,[],,,,,,,,,,,[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|JCT] [7|8|DET] [8|6|POBJ 9|3|PUNCT],[mod|will&COND] [pro:per|you] [v|like] [inf|to] [v|go] [prep|on] [det:art|the] [n|porch .],MotherofAlex_Alex010614_537
562,538,Mother,Alex010614,for a little bit (t:t:trail off),Alex,0.0,0.0,[],,,,,,,,,,,[1|4|LINK] [2|4|DET] [3|4|MOD] [4|0|INCROOT 5|4|PUNCT],[conj|for] [det:art|a] [adj|little] [n|bit (mt:trail off)],MotherofAlex_Alex010614_538
563,539,Mother,Alex010614,take a porch break .,Alex,2089.331,2092.094,[],,,,,,,,,,,[1|4|LINK] [2|3|DET] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[v|take] [det:art|a] [n|porch] [v|break .],MotherofAlex_Alex010614_539
564,540,Alex,Alex010614,yyy .,Alex,2092.094,2093.885,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_540
565,541,Mother,Alex010614,c'mon (replacement:replacement:come on) .,Alex,0.0,0.0,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT 3|1|PUNCT],[v|come adv|on .],MotherofAlex_Alex010614_541
566,542,Mother,Alex010614,carry your drink .,Alex,2093.885,2095.065,[],,,,,,,,,,,[1|0|ROOT] [2|3|MOD] [3|1|OBJ 4|1|PUNCT],[v|carry] [det:poss|your] [n|drink .],MotherofAlex_Alex010614_542
567,543,Mother,Alex010614,c'mon (replacement:replacement:come on) this way look .,Alex,2095.065,2097.451,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT] [3|4|DET] [4|5|SUBJ] [5|2|POBJ 6|1|PUNCT],[v|come prep|on] [pro:dem|this] [n|way] [v|look .],MotherofAlex_Alex010614_543
568,544,Mother,Alex010614,c'mon (replacement:replacement:come on) .,Alex,2097.451,2098.988,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT 3|1|PUNCT],[v|come adv|on .],MotherofAlex_Alex010614_544
569,545,Mother,Alex010614,c'mon (replacement:replacement:come on) .,Alex,2098.988,2102.556,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT 3|1|PUNCT],[v|come adv|on .],MotherofAlex_Alex010614_545
570,546,Mother,Alex010614,tell Jessica we're gonna try and go on the porch for a little bit .,Alex,2102.556,2106.115,[],,,,,,,,,,,[1|0|ROOT] [2|6|LINK] [3|6|SUBJ 4|6|AUX] [5|6|AUX] [6|1|COMP] [7|6|CONJ] [8|7|COORD] [9|8|JCT] [10|11|DET] [11|9|POBJ] [12|8|JCT] [13|15|DET] [14|15|MOD] [15|12|POBJ 16|1|PUNCT],[v|tell] [n:prop|Jessica] [pro:sub|we~aux|be&PRES] [mod:aux|gonna] [v|try] [coord|and] [v|go] [prep|on] [det:art|the] [n|porch] [prep|for] [det:art|a] [adj|little] [n|bit .],MotherofAlex_Alex010614_546
571,547,Alex,Alex010614,yyy .,Alex,2106.115,2108.021,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_547
572,548,Mother,Alex010614,c'mon (replacement:replacement:come on) .,Alex,0.0,0.0,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT 3|1|PUNCT],[v|come adv|on .],MotherofAlex_Alex010614_548
573,549,Mother,Alex010614,c'mon (replacement:replacement:come on) (.) maybe that will make you feel a little better .,Alex,2108.021,2112.55,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT] [3|6|JCT] [4|6|SUBJ] [5|6|AUX] [6|1|COMP] [7|8|SUBJ] [8|6|COMP] [9|11|DET] [10|11|MOD] [11|8|OBJ 12|1|PUNCT],[v|come adv|on] [adv|maybe] [det:dem|that] [mod|will] [v|make] [pro:per|you] [v|feel] [det:art|a] [adj|little] [adj|good&CP .],MotherofAlex_Alex010614_549
574,550,Mother,Alex010614,okay ?,Alex,2112.55,2114.785,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|okay ?],MotherofAlex_Alex010614_550
575,551,Alex,Alex010614,yyy yyy yyy yyy .,Alex,2114.786,2118.435,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_551
576,552,Mother,Alex010614,yeah (.) that's what I thought .,Alex,0.0,0.0,[],,,,,,,,,,,[1|3|COM] [2|3|SUBJ 3|0|ROOT] [4|6|LINK] [5|6|SUBJ] [6|3|PRED 7|3|PUNCT],[co|yeah] [pro:dem|that~cop|be&3S] [pro:int|what] [pro:sub|I] [v|think&PAST .],MotherofAlex_Alex010614_552
577,553,Alex,Alex010614,yyy yyy .,Alex,2118.435,2121.021,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_553
578,554,Alex,Alex010614,yyy .,Alex,2121.021,2122.238,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_554
579,555,Alex,Alex010614,yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy .,Alex,2122.238,2137.55,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_555
580,556,Mother,Alex010614,there's plenty of room if you wanna put the camera here (.) I mean I hate to keep making you move it but he's not (t:t:trail off),Alex,0.0,0.0,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|JCT] [4|3|JCT] [5|4|POBJ] [6|9|LINK] [7|9|SUBJ] [8|9|AUX] [9|2|CJCT] [10|11|DET] [11|9|OBJ] [12|9|JCT] [13|16|SUBJ] [14|16|JCT] [15|16|SUBJ] [16|9|COMP] [17|18|INF] [18|16|XCOMP] [19|18|OBJ] [20|21|SUBJ] [21|19|XCOMP] [22|21|OBJ] [23|25|LINK] [24|25|SUBJ 25|21|COMP] [26|25|NEG 27|2|PUNCT],[pro:exist|there~cop|be&3S] [adv|plenty] [prep|of] [n|room] [conj|if] [pro:per|you] [mod:aux|wanna] [v|put&ZERO] [det:art|the] [n|camera] [adv|here] [pro:sub|I] [adj|mean] [pro:sub|I] [v|hate] [inf|to] [v|keep] [part|make-PRESP] [pro:per|you] [v|move] [pro:per|it] [conj|but] [pro:sub|he~aux|be&3S] [neg|not (mt:trail off)],MotherofAlex_Alex010614_556
581,557,Mother,Alex010614,he's just not happy out there .,Alex,2137.55,2139.276,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|5|JCT] [4|3|NEG] [5|2|PRED] [6|7|JCT] [7|5|JCT 8|2|PUNCT],[pro:sub|he~cop|be&3S] [adv|just] [neg|not] [adj|happy] [adv|out] [adv|there .],MotherofAlex_Alex010614_557
582,558,Alex,Alex010614,yyy yyy yyy .,Alex,2139.276,2142.286,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_558
583,559,Mother,Alex010614,okay is this better ?,Alex,2142.286,2145.376,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT],[co|okay] [cop|be&3S] [pro:dem|this] [adj|good&CP ?],MotherofAlex_Alex010614_559
584,560,Mother,Alex010614,this make you feel better ?,Alex,2145.376,2147.465,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|4|SUBJ] [4|2|COMP] [5|4|JCT 6|2|PUNCT],[pro:dem|this] [v|make] [pro:per|you] [v|feel] [adj|good&CP ?],MotherofAlex_Alex010614_560
585,561,Mother,Alex010614,get some fresh air ?,Alex,2147.465,2148.865,[],,,,,,,,,,,[1|0|ROOT] [2|4|QUANT] [3|4|MOD] [4|1|OBJ 5|1|PUNCT],[v|get] [qn|some] [adj|fresh] [n|air ?],MotherofAlex_Alex010614_561
586,562,Mother,Alex010614,here Mommy will help you c'mere (replacement:replacement:come here) .,Alex,2148.865,2151.225,[],,,,,,,,,,,[1|2|JCT] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|4|OBJ] [6|4|COMP 7|6|JCT 8|4|PUNCT],[adv|here] [n:prop|Mommy] [mod|will] [v|help] [pro:per|you] [v|come adv|here .],MotherofAlex_Alex010614_562
587,563,Mother,Alex010614,g'head (replacement:replacement:go ahead) .,Alex,2151.225,2155.023,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT 3|1|PUNCT],[v|go adv|ahead .],MotherofAlex_Alex010614_563
588,564,Mother,Alex010614,turn around sit down .,Alex,2155.023,2157.3,[],,,,,,,,,,,[1|3|SUBJ] [2|3|JCT] [3|0|ROOT] [4|3|JCT 5|3|PUNCT],[n|turn] [adv|around] [v|sit] [adv|down .],MotherofAlex_Alex010614_564
589,565,Mother,Alex010614,there very nice xxx Alex .,Alex,2157.3,2161.765,[],,,,,,,,,,,[1|3|SUBJ] [2|3|JCT] [3|0|ROOT] [] [4|3|APP 5|3|PUNCT],[adv|there] [adv|very] [adj|nice] [] [n:prop|Alex .],MotherofAlex_Alex010614_565
590,566,Mother,Alex010614,would you like some bubbles ?,Alex,2161.765,2164.861,[],,,,,,,,,,,[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|QUANT] [5|3|OBJ 6|3|PUNCT],[mod|will&COND] [pro:per|you] [v|like] [qn|some] [n|bubble-PL ?],MotherofAlex_Alex010614_566
591,567,Alex,Alex010614,yyy yyy .,Alex,2164.861,2171.705,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_567
592,568,Mother,Alex010614,no Mommy has to put on your socks (.) wait a minute .,Alex,2171.705,2177.705,[],,,,,,,,,,,[1|5|COM] [2|5|SUBJ] [3|5|AUX] [4|5|INF] [5|0|ROOT] [6|9|JCT] [7|8|MOD] [8|9|SUBJ] [9|5|COMP] [10|11|DET] [11|9|OBJ 12|5|PUNCT],[co|no] [n:prop|Mommy] [aux|have&3S] [inf|to] [v|put&ZERO] [prep|on] [det:poss|your] [n|sock-PL] [v|wait] [det:art|a] [n|minute .],MotherofAlex_Alex010614_568
593,569,Mother,Alex010614,let's put on your sockies .,Alex,2177.705,2179.856,[],,,,,,,,,,,[1|0|ROOT 2|1|OBJ] [3|1|XJCT] [4|3|JCT] [5|6|MOD] [6|4|POBJ 7|1|PUNCT],[v|let~pro:obj|us] [part|put&PASTP] [prep|on] [det:poss|your] [n|sock-DIM-PL .],MotherofAlex_Alex010614_569
594,570,Alex,Alex010614,yyy yyy yyy yyy yyy .,Alex,2179.856,2184.841,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_570
595,571,Mother,Alex010614,a tree .,Alex,2184.841,2186.463,[],,,,,,,,,,,[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|a] [n|tree .],MotherofAlex_Alex010614_571
596,572,Alex,Alex010614,a tree .,Alex,2186.463,2188.591,[],,,,,,,,,,,[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|a] [n|tree .],AlexofAlex_Alex010614_572
597,573,Mother,Alex010614,a tree (t:t:self interruption),Alex,2188.591,2192.306,[],,,,,,,,,,,[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|a] [n|tree (mt:self interruption)],MotherofAlex_Alex010614_573
598,574,Alex,Alex010614,yyy yyy yyy yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_574
599,575,Mother,Alex010614,those are Alex's bubbles .,Alex,0.0,0.0,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|5|MOD 4|3|POSS] [5|2|PRED 6|2|PUNCT],[pro:dem|those] [cop|be&PRES] [n:prop|Alex~poss|s] [n|bubble-PL .],MotherofAlex_Alex010614_575
600,576,Alex,Alex010614,yyy .,Alex,2192.308,2195.023,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_576
601,577,Alex,Alex010614,yyy .,Alex,2195.023,2196.398,hard to tell but some unreleased consonant in coda[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_577
602,578,Mother,Alex010614,okay ?,Alex,2196.398,2204.225,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|okay ?],MotherofAlex_Alex010614_578
603,579,Alex,Alex010614,yyy yyy yyy yyy yyy yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_579
604,580,Mother,Alex010614,it's windy so I don't know we'll have_to see (t:t:trail off),Alex,2204.225,2206.255,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|PRED] [4|8|LINK] [5|8|SUBJ] [6|8|AUX 7|6|NEG] [8|2|CJCT] [9|12|SUBJ 10|12|AUX] [11|12|AUX] [12|8|COMP 13|2|PUNCT],[pro:per|it~cop|be&3S] [adj|wind&dn-Y] [conj|so] [pro:sub|I] [mod|do~neg|not] [v|know] [pro:sub|we~mod|will] [mod:aux|have_to] [v|see (mt:trail off)],MotherofAlex_Alex010614_580
605,581,Alex,Alex010614,yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_581
606,582,Mother,Alex010614,if we can do the best that we (t:t:self interruption),Alex,2206.255,2208.348,[],,,,,,,,,,,[1|4|LINK] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|6|DET] [6|4|OBJ] [7|8|LINK] [8|6|CMOD 9|4|PUNCT],[conj|if] [pro:sub|we] [mod|can] [v|do] [det:art|the] [adj|good&SP] [pro:rel|that] [pro:sub|we (mt:self interruption)],MotherofAlex_Alex010614_582
607,583,Alex,Alex010614,yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_583
608,584,Mother,Alex010614,can (t:t:self interruption),Alex,2208.348,2209.595,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[mod|can (mt:self interruption)],MotherofAlex_Alex010614_584
609,585,Alex,Alex010614,yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_585
610,586,Mother,Alex010614,nope (replacement:replacement:no) (t:t:self interruption),Alex,0.0,0.0,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|no (mt:self interruption)],MotherofAlex_Alex010614_586
611,587,Mother,Alex010614,whoops it broke .,Alex,2209.595,2229.92,[],,,,,,,,,,,[1|0|INCROOT] [2|1|OBJ] [3|2|PRED 4|1|PUNCT],[co|whoops] [pro:per|it] [adj|broke .],MotherofAlex_Alex010614_587
612,588,Mother,Alex010614,Alex Mommy's trying .,Alex,2229.92,2237.126,[],,,,,,,,,,,[1|4|LINK] [2|4|SUBJ 3|4|AUX] [4|0|ROOT 5|4|PUNCT],[n:prop|Alex] [n:prop|Mommy~aux|be&3S] [part|try-PRESP .],MotherofAlex_Alex010614_588
613,589,Mother,Alex010614,there .,Alex,2237.126,2239.576,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adv|there .],MotherofAlex_Alex010614_589
614,590,Alex,Alex010614,yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_590
615,591,Mother,Alex010614,there they are .,Alex,2239.576,2241.766,[],,,,,,,,,,,[1|3|JCT] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[adv|there] [pro:sub|they] [cop|be&PRES .],MotherofAlex_Alex010614_591
616,592,Mother,Alex010614,it's just windy that's all .,Alex,2241.766,2246.45,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|PRED] [4|2|PRED] [5|6|SUBJ 6|2|CJCT] [7|6|PRED 8|2|PUNCT],[pro:per|it~cop|be&3S] [adj|just] [adj|wind&dn-Y] [pro:dem|that~cop|be&3S] [pro:indef|all .],MotherofAlex_Alex010614_592
617,593,Mother,Alex010614,have_to wait for the wind (t:t:trail off),Alex,2246.45,2248.191,[],,,,,,,,,,,[1|2|AUX] [2|0|ROOT] [3|2|JCT] [4|5|DET] [5|3|POBJ 6|2|PUNCT],[mod:aux|have_to] [v|wait] [prep|for] [det:art|the] [n|wind (mt:trail off)],MotherofAlex_Alex010614_593
618,594,Mother,Alex010614,to go by .,Alex,2248.191,2255.553,[],,,,,,,,,,,[1|2|INF] [2|0|ROOT] [3|2|JCT 4|2|PUNCT],[inf|to] [v|go] [adv|by .],MotherofAlex_Alex010614_594
619,595,Alex,Alex010614,yyy yyy yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_595
620,596,Mother,Alex010614,what's that ?,Alex,2255.553,2257.691,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|that ?],MotherofAlex_Alex010614_596
621,597,Alex,Alex010614,yyy yyy yyy yyy yyy yyy yyy yyy yyy .,Alex,2257.691,2268.22,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_597
622,598,Alex,Alex010614,yyy yyy yyy yyy .,Alex,2268.22,2270.248,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_598
623,599,Mother,Alex010614,you don't feel good huh ?,Alex,2270.248,2274.166,[],,,,,,,,,,,[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|4|JCT] [6|4|COM 7|4|PUNCT],[pro:per|you] [mod|do~neg|not] [v|feel] [adj|good] [co|huh ?],MotherofAlex_Alex010614_599
624,600,Mother,Alex010614,ready ?,Alex,2274.166,2275.783,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|ready ?],MotherofAlex_Alex010614_600
625,601,Mother,Alex010614,let's try now .,Alex,2275.783,2276.706,[],,,,,,,,,,,[1|0|ROOT 2|1|OBJ] [3|1|XCOMP] [4|3|JCT 5|1|PUNCT],[v|let~pro:obj|us] [v|try] [adv|now .],MotherofAlex_Alex010614_601
626,602,Mother,Alex010614,there .,Alex,2276.706,2279.713,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adv|there .],MotherofAlex_Alex010614_602
627,603,Mother,Alex010614,that's better .,Alex,2279.713,2281.095,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:dem|that~cop|be&3S] [adj|good&CP .],MotherofAlex_Alex010614_603
628,604,Mother,Alex010614,that's better .,Alex,2281.095,2283.28,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:dem|that~cop|be&3S] [adj|good&CP .],MotherofAlex_Alex010614_604
629,605,Mother,Alex010614,here comes the wind .,Alex,2283.28,2286.446,[],,,,,,,,,,,[1|2|JCT] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|PUNCT],[adv|here] [v|come-3S] [det:art|the] [n|wind .],MotherofAlex_Alex010614_605
630,606,Mother,Alex010614,wee .,Alex,2286.446,2290.12,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|wee .],MotherofAlex_Alex010614_606
631,607,Alex,Alex010614,{ wee (?) } .,Alex,2290.12,2292.11,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|wee .],AlexofAlex_Alex010614_607
632,608,Mother,Alex010614,wee .,Alex,2292.11,2294.115,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|wee .],MotherofAlex_Alex010614_608
633,609,Alex,Alex010614,yyy yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_609
634,610,Mother,Alex010614,nope (replacement:replacement:no) .,Alex,2294.115,2299.56,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|no .],MotherofAlex_Alex010614_610
635,611,Alex,Alex010614,yyy yyy yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_611
636,612,Alex,Alex010614,yyy yyy yyy .,Alex,2299.56,2302.151,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_612
637,613,Mother,Alex010614,there .,Alex,2302.151,2307.325,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adv|there .],MotherofAlex_Alex010614_613
638,614,Mother,Alex010614,did you catch it ?,Alex,2307.325,2309.221,[],,,,,,,,,,,[1|0|ROOT] [2|3|SUBJ] [3|1|COMP] [4|3|OBJ 5|1|PUNCT],[v|do&PAST] [pro:per|you] [v|catch] [pro:per|it ?],MotherofAlex_Alex010614_614
639,615,Mother,Alex010614,ready ?,Alex,2309.221,2313.246,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|ready ?],MotherofAlex_Alex010614_615
640,616,Alex,Alex010614,yyy yyy .,Alex,2313.246,2318.703,both vowels shortened[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_616
641,617,Mother,Alex010614,yay .,Alex,0.0,0.0,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|yay .],MotherofAlex_Alex010614_617
642,618,Alex,Alex010614,yyy yyy yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_618
643,619,Alex,Alex010614,yyy .,Alex,2318.703,2320.545,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_619
644,620,Mother,Alex010614,woo .,Alex,0.0,0.0,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|woo .],MotherofAlex_Alex010614_620
645,621,Mother,Alex010614,ready ?,Alex,2320.545,2325.488,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|ready ?],MotherofAlex_Alex010614_621
646,622,Alex,Alex010614,yyy yyy yyy yyy yyy .,Alex,2325.488,2329.448,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_622
647,623,Mother,Alex010614,ready ?,Alex,2329.448,2335.326,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|ready ?],MotherofAlex_Alex010614_623
648,624,Mother,Alex010614,one (.) two (.) three .,Alex,2335.326,2337.648,[],,,,,,,,,,,[1|2|QUANT] [2|3|QUANT] [3|0|INCROOT 4|3|PUNCT],[det:num|one] [det:num|two] [det:num|three .],MotherofAlex_Alex010614_624
649,625,Alex,Alex010614,yyy yyy yyy yyy .,Alex,2337.648,2340.76,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_625
650,626,Mother,Alex010614,wee: .,Alex,2340.76,2343.728,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|wee .],MotherofAlex_Alex010614_626
651,627,Alex,Alex010614,yyy yyy yyy yyy yyy yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_627
652,628,Alex,Alex010614,yyy yyy yyy yyy yyy yyy yyy .,Alex,2343.728,2347.263,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_628
653,629,Alex,Alex010614,yyy yyy yyy yyy yyy yyy yyy .,Alex,2347.263,2356.651,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_629
654,630,Alex,Alex010614,yyy yyy yyy .,Alex,2356.651,2358.15,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_630
655,631,Mother,Alex010614,wow: .,Alex,2358.15,2365.295,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|wow .],MotherofAlex_Alex010614_631
656,632,Alex,Alex010614,yyy yyy .,Alex,2365.295,2368.345,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_632
657,633,Alex,Alex010614,yyy yyy yyy yyy .,Alex,2368.345,2371.191,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_633
658,634,Mother,Alex010614,what honey you want Mommy do another one ?,Alex,2371.191,2372.825,[],,,,,,,,,,,[1|2|MOD] [2|0|INCROOT] [3|4|SUBJ] [4|2|CMOD] [5|6|SUBJ] [6|4|COMP] [7|8|QUANT] [8|6|OBJ 9|2|PUNCT],[pro:int|what] [n|honey] [pro:per|you] [v|want] [n:prop|Mommy] [v|do] [qn|another] [pro:indef|one ?],MotherofAlex_Alex010614_634
659,635,Alex,Alex010614,wee !,Alex,2372.825,2374.055,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|wee !],AlexofAlex_Alex010614_635
660,636,Mother,Alex010614,okay here .,Alex,0.0,0.0,[],,,,,,,,,,,[1|2|COM] [2|0|ROOT 3|2|PUNCT],[co|okay] [adv|here .],MotherofAlex_Alex010614_636
661,637,Mother,Alex010614,wait a minute .,Alex,2374.055,2376.555,[],,,,,,,,,,,[1|0|ROOT] [2|3|DET] [3|1|OBJ 4|1|PUNCT],[v|wait] [det:art|a] [n|minute .],MotherofAlex_Alex010614_637
662,638,Alex,Alex010614,yyy yyy .,Alex,2376.555,2377.751,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_638
663,639,Mother,Alex010614,it's all soapy .,Alex,2377.751,2379.973,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|4|JCT] [4|2|PRED 5|2|PUNCT],[pro:per|it~cop|be&3S] [adv|all] [adj|soap&dn-Y .],MotherofAlex_Alex010614_639
664,640,Alex,Alex010614,yyy yyy .,Alex,2379.973,2384.553,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_640
665,641,Mother,Alex010614,this one .,Alex,0.0,0.0,[],,,,,,,,,,,[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[pro:dem|this] [pro:indef|one .],MotherofAlex_Alex010614_641
666,642,Mother,Alex010614,thank you .,Alex,2384.553,2385.643,[],,,,,,,,,,,[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|thank] [pro:per|you .],MotherofAlex_Alex010614_642
667,643,Mother,Alex010614,God bless you .,Alex,2385.643,2391.646,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[n:prop|God] [v|bless] [pro:per|you .],MotherofAlex_Alex010614_643
668,644,Mother,Alex010614,wee: .,Alex,2391.646,2396.323,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adj|wee .],MotherofAlex_Alex010614_644
669,645,Alex,Alex010614,yyy .,Alex,2396.323,2397.686,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_645
670,646,Mother,Alex010614,whoops try again .,Alex,2397.686,2406.331,[],,,,,,,,,,,[1|2|COM] [2|0|ROOT] [3|2|JCT 4|2|PUNCT],[co|whoops] [v|try] [adv|again .],MotherofAlex_Alex010614_646
671,647,Mother,Alex010614,God bless you .,Alex,2406.331,2408.51,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[n:prop|God] [v|bless] [pro:per|you .],MotherofAlex_Alex010614_647
672,648,Alex,Alex010614,yyy yyy yyy .,Alex,2408.51,2412.925,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_648
673,649,Alex,Alex010614,yyy yyy yyy yyy yyy .,Alex,2412.925,2415.826,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_649
