Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
745,Violet,Violet030600,xxx .,Violet,1873.836,1876.853,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_745
746,Mother,Violet030600,and the little brother .,Violet,0.0,0.0,[],[1|4|LINK] [2|4|DET] [3|4|MOD] [4|0|INCROOT 5|4|PUNCT],[coord|and] [det:art|the] [adj|little] [n|brother .],,,,,,,,,,MotherofViolet_Violet030600_746
747,Mother,Violet030600,he didn't even get dressed .,Violet,1876.853,1885.926,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|6|AUX] [6|4|COMP 7|4|PUNCT],[pro:sub|he] [mod|do&PAST~neg|not] [v|even] [aux|get] [part|dress-PASTP .],,,,,,,,,,MotherofViolet_Violet030600_747
748,Violet,Violet030600,a dog .,Violet,1885.926,1888.853,[],[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|a] [n|dog .],,,,,,,,,,VioletofViolet_Violet030600_748
749,Violet,Violet030600,dog xxx .,Violet,1888.853,1891.988,[],[1|0|ROOT] [2|1|PUNCT],[v|dog] [.],,,,,,,,,,VioletofViolet_Violet030600_749
750,Mother,Violet030600,xxx .,Violet,0.0,0.0,MOT is laughing,[],[],,,,,,,,,,MotherofViolet_Violet030600_750
751,Violet,Violet030600,book .,Violet,1891.988,1893.641,[],[1|0|INCROOT 2|1|PUNCT],[n|book .],,,,,,,,,,VioletofViolet_Violet030600_751
752,Mother,Violet030600,"that's a good book , huh ?",Violet,0.0,0.0,[],[1|2|SUBJ 2|0|ROOT] [3|5|DET] [4|5|MOD] [5|2|PRED 6|5|LP] [7|5|ENUM 8|2|PUNCT],[pro:dem|that~cop|be&3S] [det:art|a] [adj|good] [n|book cm|cm] [co|huh ?],,,,,,,,,,MotherofViolet_Violet030600_752
753,Violet,Violet030600,a dog xxx .,Violet,1893.643,1895.923,[],[1|2|DET] [2|0|INCROOT] [3|2|PUNCT],[det:art|a] [n|dog] [.],,,,,,,,,,VioletofViolet_Violet030600_753
754,Violet,Violet030600,xxx xxx .,Violet,1895.923,1898.788,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_754
755,Mother,Violet030600,George shrinks .,Violet,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[n:prop|George] [v|shrink-3S .],,,,,,,,,,MotherofViolet_Violet030600_755
756,Mother,Violet030600,I like it .,Violet,1898.788,1900.29,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[pro:sub|I] [v|like] [pro:per|it .],,,,,,,,,,MotherofViolet_Violet030600_756
757,Violet,Violet030600,xxx George xxx (t:t:interruption),Violet,1900.29,1903.81,[],[] [1|0|INCROOT] [2|1|PUNCT],[] [n:prop|George] [(mt:interruption)],,,,,,,,,,VioletofViolet_Violet030600_757
758,Mother,Violet030600,this is a show too ya (replacement:replacement:you) know .,Violet,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|7|SUBJ] [5|7|JCT] [6|7|SUBJ] [7|2|PRED 8|2|PUNCT],[pro:dem|this] [cop|be&3S] [det:art|a] [n|show] [adv|too] [pro:per|you] [v|know .],,,,,,,,,,MotherofViolet_Violet030600_758
759,Violet,Violet030600,what it is show ?,Violet,1903.81,1913.286,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|PRED 5|3|PUNCT],[pro:int|what] [pro:per|it] [cop|be&3S] [v|show ?],,,,,,,,,,VioletofViolet_Violet030600_759
760,Mother,Violet030600,it says see George shrinks Saturday mornings on P_B_S_Kids .,Violet,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|5|SUBJ] [5|3|COMP] [6|7|MOD] [7|5|OBJ] [8|7|NJCT] [9|8|POBJ 10|2|PUNCT],[pro:per|it] [v|say-3S] [v|see] [n:prop|George] [v|shrink-3S] [n:prop|Saturday] [n|morning-PL] [prep|on] [n:prop|P_B_S_Kids .],,,,,,,,,,MotherofViolet_Violet030600_760
761,Mother,Violet030600,"what's he making here , do ya (replacement:replacement:you) (t:t:self interruption question)",Violet,0.0,0.0,[],[1|7|LINK 2|7|AUX] [3|7|SUBJ] [4|7|AUX] [5|4|JCT 6|4|LP] [7|0|ROOT] [8|7|OBJ 9|7|PUNCT],[pro:int|what~aux|be&3S] [pro:sub|he] [part|make-PRESP] [adv|here cm|cm] [v|do] [pro:per|you (mt:self interruption question)],,,,,,,,,,MotherofViolet_Violet030600_761
762,Mother,Violet030600,do you know ?,Violet,1913.286,1916.355,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[mod|do] [pro:per|you] [v|know ?],,,,,,,,,,MotherofViolet_Violet030600_762
763,Violet,Violet030600,ice yyy ate ice yyy .,Violet,1916.355,1921.271,[],[1|2|SUBJ] [] [2|0|ROOT] [3|2|OBJ] [4|2|PUNCT],[n|ice] [] [v|eat&PAST] [n|ice] [.],,,,,,,,,,VioletofViolet_Violet030600_763
764,Mother,Violet030600,ice cream sundae .,Violet,0.0,0.0,[],[1|3|MOD] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[n|ice] [n|cream] [n|sundae .],,,,,,,,,,MotherofViolet_Violet030600_764
