Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
224,Mother,Naima021008a,"your teeth , but if you are hungry , I would like to give you something more to eat .",Naima,844.201,847.24,[],[1|2|MOD] [2|12|LINK 3|2|LP] [4|2|CONJ] [5|7|LINK] [6|7|SUBJ] [7|4|COORD] [8|7|PRED 9|7|LP] [10|12|SUBJ] [11|12|AUX] [12|0|ROOT] [13|14|INF] [14|12|XCOMP] [15|14|OBJ] [16|19|SUBJ] [17|19|JCT] [18|19|INF] [19|14|COMP 20|12|PUNCT],[det:poss|your] [n|tooth&PL cm|cm] [conj|but] [conj|if] [pro:per|you] [cop|be&PRES] [adj|hungry cm|cm] [pro:sub|I] [mod|will&COND] [v|like] [inf|to] [v|give] [pro:per|you] [pro:indef|something] [adv|more] [inf|to] [v|eat .],,,,,,,,,,MotherofNaima_Naima021008a_224
225,Mother,Naima021008a,"are you interested in having anything more to eat , Naima ?",Naima,847.24,850.371,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|JCT] [5|4|POBJ] [6|5|OBJ] [7|5|JCT] [8|9|INF] [9|5|XCOMP 10|9|LP] [11|9|JCT 12|3|PUNCT],[cop|be&PRES] [pro:per|you] [v|interest-PAST] [prep|in] [n:gerund|have-PRESP] [pro:indef|anything] [adv|more] [inf|to] [v|eat cm|cm] [n:prop|Naima ?],,,,,,,,,,MotherofNaima_Naima021008a_225
226,Naima,Naima021008a,yes but xxx .,Naima,850.373,854.628,[],[1|2|COM] [2|0|ROOT] [3|2|PUNCT],[co|yes] [conj|but] [.],,,,,,,,,,NaimaofNaima_Naima021008a_226
227,Mother,Naima021008a,like what ?,Naima,0.0,0.0,[],[1|0|INCROOT] [2|1|POBJ 3|1|PUNCT],[prep|like] [pro:int|what ?],,,,,,,,,,MotherofNaima_Naima021008a_227
228,Naima,Naima021008a,"so we have_to look for , for the barn cat and stuff .",Naima,854.628,858.773,[],[1|4|COM] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|4|JCT 6|5|LP] [7|4|JCT] [8|10|DET] [9|10|MOD] [10|7|POBJ] [11|10|CONJ] [12|11|COORD 13|4|PUNCT],[co|so] [pro:sub|we] [mod:aux|have_to] [v|look] [prep|for cm|cm] [prep|for] [det:art|the] [n|barn] [n|cat] [coord|and] [n|stuff .],,,,,,,,,,NaimaofNaima_Naima021008a_228
229,Mother,Naima021008a,do you want some cow's milk and a cookie ?,Naima,0.0,0.0,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|QUANT] [5|7|MOD 6|5|POSS] [7|3|OBJ] [8|7|CONJ] [9|10|DET] [10|8|COORD 11|3|PUNCT],[mod|do] [pro:per|you] [v|want] [qn|some] [n|cow~poss|s] [n|milk] [coord|and] [det:art|a] [n|cookie ?],,,,,,,,,,MotherofNaima_Naima021008a_229
230,Naima,Naima021008a,"no , yes yes , after , after the (t:t:trail off)",Naima,858.773,872.736,[],[1|6|COM 2|1|LP] [3|6|COM] [4|6|COM 5|4|LP] [6|0|ROOT 7|6|LP] [8|6|JCT] [9|8|POBJ 10|6|PUNCT],[co|no cm|cm] [co|yes] [co|yes cm|cm] [prep|after cm|cm] [prep|after] [det:art|the (mt:trail off)],,,,,,,,,,NaimaofNaima_Naima021008a_230
231,Mother,Naima021008a,well it's getting (t:t:trail off),Naima,0.0,0.0,[],[1|4|COM] [2|4|SUBJ 3|4|AUX] [4|0|ROOT 5|4|PUNCT],[co|well] [pro:per|it~aux|be&3S] [part|get-PRESP (mt:trail off)],,,,,,,,,,MotherofNaima_Naima021008a_231
232,Naima,Naima021008a,"yyy after Veena finds the , the cat and after finds Pushba .",Naima,0.0,0.0,[],[] [1|3|JCT] [2|3|SUBJ] [3|0|ROOT] [4|7|DET 5|4|LP] [6|7|DET] [7|3|OBJ] [8|7|CONJ] [9|8|COORD] [10|9|POBJ] [11|9|POBJ 12|3|PUNCT],[] [adv:tem|after] [n:prop|Veena] [v|find-3S] [det:art|the cm|cm] [det:art|the] [n|cat] [coord|and] [prep|after] [v|find-3S] [n:prop|Pushba .],,,,,,,,,,NaimaofNaima_Naima021008a_232
233,Mother,Naima021008a,okay .,Naima,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,MotherofNaima_Naima021008a_233
